"hashtag","Women amongst users"
"malt","19.0"
"rye","29.3"
"tonic","37.2"
"coke","40.1"
"soda","40.9"
"banana","54.0"
"lemon","55.7"
"cherry","56.5"
"lime","57.3"
"lemonade","58.3"
"mango","59.9"
"pineapple","63.1"
"watermelon","64.4"
"peach","65.7"
"fruit","66.5"
"cucumber","67.3"
"chocolate","68.2"
"coconut","69.0"
"raspberry","71.3"
"strawberry","72.4"
"passionfruit","76.1"
